population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,101,Canada,3,Both,26,70+ years,974,Diabetes and kidney diseases,3,Rate,1995,257.00975441475754,274.9008544553775,233.5401088832484
1,All Population,1,Deaths,101,Canada,3,Both,30,80-84 years,974,Diabetes and kidney diseases,1,Number,1995,1499.051971329118,1602.7871273743433,1359.7918968853057
1,All Population,1,Deaths,101,Canada,3,Both,30,80-84 years,974,Diabetes and kidney diseases,3,Rate,1995,336.37600813035726,359.65339834807895,305.127092929764
1,All Population,1,Deaths,101,Canada,3,Both,31,85-89 years,974,Diabetes and kidney diseases,1,Number,1995,1094.019255780603,1203.69985522707,940.4024418548255
1,All Population,1,Deaths,101,Canada,3,Both,31,85-89 years,974,Diabetes and kidney diseases,3,Rate,1995,496.1309896611903,545.8704655090643,426.466711341688
1,All Population,1,Deaths,101,Canada,3,Both,160,85+ years,974,Diabetes and kidney diseases,1,Number,1995,2176.6287171713957,2406.819742817299,1819.694099479505
1,All Population,1,Deaths,101,Canada,3,Both,160,85+ years,974,Diabetes and kidney diseases,3,Rate,1995,660.3337671753101,730.1678670084875,552.0488865815909
1,All Population,1,Deaths,101,Canada,3,Both,231,60+ years,974,Diabetes and kidney diseases,1,Number,1995,7411.873954419249,7868.164216728122,6831.7632162118925
1,All Population,1,Deaths,101,Canada,3,Both,231,60+ years,974,Diabetes and kidney diseases,3,Rate,1995,157.34246607637675,167.0287931186099,145.02762441713475
1,All Population,1,Deaths,101,Canada,3,Both,232,65-74 years,974,Diabetes and kidney diseases,1,Number,1995,1915.624649932979,2011.5459126584328,1823.6152709331168
1,All Population,1,Deaths,101,Canada,3,Both,232,65-74 years,974,Diabetes and kidney diseases,3,Rate,1995,92.43785674475905,97.06650669604353,87.99797349546942
1,All Population,1,Deaths,101,Canada,3,Both,234,75+ years,974,Diabetes and kidney diseases,1,Number,1995,5009.042331596945,5392.325658973098,4482.712834301877
1,All Population,1,Deaths,101,Canada,3,Both,234,75+ years,974,Diabetes and kidney diseases,3,Rate,1995,349.08015677313983,375.79117160426057,312.4002544550624
1,All Population,1,Deaths,101,Canada,3,Both,243,75-84 years,974,Diabetes and kidney diseases,1,Number,1995,2832.4136144255494,2997.931232182112,2621.064444433473
1,All Population,1,Deaths,101,Canada,3,Both,243,75-84 years,974,Diabetes and kidney diseases,3,Rate,1995,256.2573174685007,271.23221396809805,237.1358971097201
1,All Population,1,Deaths,101,Canada,3,Both,420,<70 years,974,Diabetes and kidney diseases,1,Number,1995,2137.199473803476,2215.1764305164024,2065.9975458684494
1,All Population,1,Deaths,101,Canada,3,Both,420,<70 years,974,Diabetes and kidney diseases,3,Rate,1995,7.950647070538211,8.240731019209502,7.685767069072638
1,All Population,1,Deaths,101,Canada,3,Both,17,60-64 years,974,Diabetes and kidney diseases,1,Number,2005,601.0326106970341,629.975163490911,567.9725800958164
1,All Population,1,Deaths,101,Canada,3,Both,17,60-64 years,974,Diabetes and kidney diseases,3,Rate,2005,39.1203730026751,41.004203332002795,36.96854179488158
1,All Population,1,Deaths,101,Canada,3,Both,18,65-69 years,974,Diabetes and kidney diseases,1,Number,2005,791.8688741615817,828.0067978466037,749.8108836787089
1,All Population,1,Deaths,101,Canada,3,Both,18,65-69 years,974,Diabetes and kidney diseases,3,Rate,2005,65.35191664014907,68.33433286242085,61.880924942187626
1,All Population,1,Deaths,101,Canada,3,Both,19,70-74 years,974,Diabetes and kidney diseases,1,Number,2005,1243.23183885354,1297.516858529323,1181.651450261412
1,All Population,1,Deaths,101,Canada,3,Both,19,70-74 years,974,Diabetes and kidney diseases,3,Rate,2005,117.27512260276757,122.3958749347236,111.46619188174655
1,All Population,1,Deaths,101,Canada,3,Both,20,75-79 years,974,Diabetes and kidney diseases,1,Number,2005,1849.0972878928235,1940.860562474488,1710.9066442201556
1,All Population,1,Deaths,101,Canada,3,Both,20,75-79 years,974,Diabetes and kidney diseases,3,Rate,2005,212.10529412558273,222.63122830574198,196.25379333462297
1,All Population,1,Deaths,101,Canada,3,Both,21,80+ years,974,Diabetes and kidney diseases,1,Number,2005,6676.695572953963,7249.753323275727,5723.0735621216845
1,All Population,1,Deaths,101,Canada,3,Both,21,80+ years,974,Diabetes and kidney diseases,3,Rate,2005,593.826443324034,644.7942974031278,509.0111389896623
1,All Population,1,Deaths,101,Canada,3,Both,26,70+ years,974,Diabetes and kidney diseases,1,Number,2005,9769.024699700325,10413.018089515801,8613.975633317656
1,All Population,1,Deaths,101,Canada,3,Both,26,70+ years,974,Diabetes and kidney diseases,3,Rate,2005,319.6427125964962,340.7141911056197,281.8494806096908
1,All Population,1,Deaths,101,Canada,3,Both,30,80-84 years,974,Diabetes and kidney diseases,1,Number,2005,2377.906232304479,2549.4145111245166,2089.288094366079
1,All Population,1,Deaths,101,Canada,3,Both,30,80-84 years,974,Diabetes and kidney diseases,3,Rate,2005,376.7713589618764,403.9462771341606,331.04077187026024
1,All Population,1,Deaths,101,Canada,3,Both,31,85-89 years,974,Diabetes and kidney diseases,1,Number,2005,2040.6939377166343,2235.610645653707,1736.858564897138
1,All Population,1,Deaths,101,Canada,3,Both,31,85-89 years,974,Diabetes and kidney diseases,3,Rate,2005,638.5002608783001,699.4865590032479,543.4350670127405
1,All Population,1,Deaths,101,Canada,3,Both,160,85+ years,974,Diabetes and kidney diseases,1,Number,2005,4298.789340649484,4770.457465016732,3578.0381158860205
1,All Population,1,Deaths,101,Canada,3,Both,160,85+ years,974,Diabetes and kidney diseases,3,Rate,2005,871.5689900907835,967.1985448878717,725.4384479091383
1,All Population,1,Deaths,101,Canada,3,Both,231,60+ years,974,Diabetes and kidney diseases,1,Number,2005,11161.926184558937,11809.3694792803,9936.269214297514
1,All Population,1,Deaths,101,Canada,3,Both,231,60+ years,974,Diabetes and kidney diseases,3,Rate,2005,192.30445271494048,203.4589995553941,171.18808901703005
1,All Population,1,Deaths,101,Canada,3,Both,232,65-74 years,974,Diabetes and kidney diseases,1,Number,2005,2035.1007130151213,2121.9078841302876,1934.7078498900544
1,All Population,1,Deaths,101,Canada,3,Both,232,65-74 years,974,Diabetes and kidney diseases,3,Rate,2005,89.58105686515822,93.40213465371163,85.16196412790565
1,All Population,1,Deaths,101,Canada,3,Both,234,75+ years,974,Diabetes and kidney diseases,1,Number,2005,8525.79286084678,9157.060702426481,7441.797843326209
1,All Population,1,Deaths,101,Canada,3,Both,234,75+ years,974,Diabetes and kidney diseases,3,Rate,2005,427.11524545222267,458.7397668900601,372.8105249958428
1,All Population,1,Deaths,101,Canada,3,Both,243,75-84 years,974,Diabetes and kidney diseases,1,Number,2005,4227.003520197302,4480.881622560704,3825.2997311195268
